Abbreviation,Reference,DOI
Aann&Si85,Aannestad & Sion 1985,10.1086/113885
Bar01,Barstow et al. 2001,10.1046/j.1365-8711.2001.04203.x
Bond15,Bond et al. 2015,10.1088/0004-637X/813/2/106
Bond17a,Bond et al. 2017a,10.3847/1538-4357/aa8a63
Bond17b,Bond et al. 2017b,10.3847/1538-4357/aa6af8
Bowl21,Bowler et al. 2021,10.3847/1538-3881/abd243
Bra19,Brandt et al. 2019,10.3847/1538-3881/ab04a8
Duf07,Dufour et al. 2007,10.1086/518468
ElB18,El-Badry & Rix 2018,10.1093/mnras/sty2186
Far13,Farihi et al. 2013,https://doi.org/10.1093/mnras/sts677
Fari11,Farihi et al. 2011,10.1111/j.1365-2966.2011.19354.x
Fari05,Farihi et al. 2005,10.1086/444362
Font01,Fontaine et al. 2001,10.1086/319535
Fur19,Furman & Chini 2019,10.1093/mnras/sty2660
Gent18,Gentile Fusillo et al. 2018,10.1093/mnras/sty3016
Gent19,Gentile Fusillo et al. 2019,10.1093/mnras/sty3016
GaiaDR3,Gaia Collaboration 2023j,10.1051/0004-6361/202243940
H13,Holberg et al. 2013,10.1093/mnras/stt1433
Hir19,Hirsch et al. 2019,10.3847/1538-4357/ab1b11
Kaw&Ven12,Kawka & Vennes 2012,10.1111/j.1365-2966.2012.21574.x
Klein11,Klein et al. 2011,10.1088/0004-637X/741/1/64
Koes09,Koester et al. 2009,10.1051/0004-6361/200912531
Noor24,Noor et al. 2024,10.1093/mnras/stae731
OHL88,"Oswalt, Hintzen, & Luyten 1988",10.1086/191263
OS94,Oswalt & String 1994,https://ui.adsabs.harvard.edu/abs/1994AAS...184.2809O/abstract
Sahu17,Sahu et al 2017,10.1126/science.aal2879
Suba07,Subasavage et al. 2007,10.1086/518739
Suba08,Subasavage et al. 2007,10.1088/0004-6256/136/3/899
Tok20,Tokovinin & Lathan 2020,10.3847/1538-3881/abbad4
Ven23,Venner et al. 2023,10.1093/mnras/stad1719
Voss07,Voss et al. 2007,10.1051/0004-6361:20077285
Wil19,Wilson et al 2019,10.1093/mnras/stz1050
Zuck03,Zuckerman et al. 2003,10.1086/377492
Zuck10,Zuckerman et al. 2010,10.1088/0004-637X/722/1/725
Zuck14,Zuckerman 2014,10.1088/2041-8205/791/2/L27
